"DisplayName","SamAccountName","UserPrincipalName","Mail","AdMail","ProxyAddresses","AdProxyAddresses","Description","GivenName","Surname","JobTitle","Department","CompanyName","StreetAddress","City","State","Country","PostalCode","TelephoneNumber","Mobile","ImmutableId","AzObjectId","AdObjectGuid","AdDN","AdOU","ObjectType","Match","Status","UsageLocation","Notes"
"Alex Wilber",,"AlexW@vmwdojo.com","AlexW@vmwdojo.com",,"smtp:AlexW@M365x442721.OnMicrosoft.com;SMTP:AlexW@vmwdojo.com",,,"Alex","Wilber","Marketing Assistant","Marketing",,"9256 Towne Center Dr., Suite 400","San Diego","CA",,"92121","+1 858 555 0110",,,"4c89a0a6-fe1f-4424-a76f-ee02eb93b3c6",,,,"User",,,"US",
"Allan Deyoung",,"AllanD@vmwdojo.com","AllanD@vmwdojo.com",,"smtp:AllanD@M365x442721.OnMicrosoft.com;SMTP:AllanD@vmwdojo.com",,,"Allan","Deyoung","IT Admin","IT",,"N19 W24133 Riverwood Dr., Suite 150","Waukesha","WI",,"53188","+1 262 555 0106",,,"3c1f4813-2b7f-4a25-90f7-51cd92153055",,,,"User",,,"US",
"Diego Siciliani",,"DiegoS@vmwdojo.com","DiegoS@vmwdojo.com",,"smtp:DiegoS@M365x442721.OnMicrosoft.com;SMTP:DiegoS@vmwdojo.com",,,"Diego","Siciliani","HR Manager","HR",,"3535 Gradview Parkway Suite 335","Birmingham","AL",,"35243","+1 205 555 0108",,,"858a22b8-f220-4605-ad87-78ca59cd833c",,,,"User",,,"US",
"Isaiah Langer",,"IsaiahL@vmwdojo.com","IsaiahL@vmwdojo.com",,"smtp:IsaiahL@M365x442721.OnMicrosoft.com;SMTP:IsaiahL@vmwdojo.com",,,"Isaiah","Langer","Sales Rep","Sales",,"7633 E. 63rd Place, Suite 300","Tulsa","OK",,"74133","+1 918 555 0101",,,"f4d33b54-44bf-4837-8681-461d2127d239",,,,"User",,,"US",
"Joni Sherman",,"JoniS@vmwdojo.com","JoniS@vmwdojo.com",,"smtp:JoniS@M365x442721.OnMicrosoft.com;SMTP:JoniS@vmwdojo.com",,,"Joni","Sherman","Paralegal","Legal",,"8055 Microsoft Way","Charlotte","NC",,"28273","+1 980 555 0101",,,"ae752cbd-5ec4-4fe6-93f8-8c62c2bb232e",,,,"User",,,"US",
"Lynne Robbins",,"LynneR@vmwdojo.com","LynneR@vmwdojo.com",,"smtp:LynneR@M365x442721.OnMicrosoft.com;SMTP:LynneR@vmwdojo.com",,,"Lynne","Robbins","Planner","Retail",,"7633 E. 63rd Place, Suite 300","Tulsa","OK",,"74133","+1 918 555 0104",,,"a8ce011d-e6bc-4ca1-9632-7cdb81a8c461",,,,"User",,,"US",
"Megan Bowen",,"MeganB@vmwdojo.com","MeganB@vmwdojo.com",,"smtp:MeganB@M365x442721.OnMicrosoft.com;SMTP:MeganB@vmwdojo.com",,,"Megan","Bowen","Marketing Manager","Marketing",,"30 Isabella St., Second Floor","Pittsburgh","PA",,"15212","+1 412 555 0109",,,"28fa5dac-70ad-4ac7-bfb2-7e442ccefcfa",,,,"User",,,"US",
"MOD Administrator",,"admin@M365x442721.onmicrosoft.com","admin@M365x442721.OnMicrosoft.com",,"SMTP:admin@M365x442721.OnMicrosoft.com",,,"MOD","Administrator",,,,,,,,,"425-555-0100","425-555-0101",,"4db27f31-d725-4adb-b5e2-03f07512fcdb",,,,"User",,,"US",
"Nestor Wilke",,"NestorW@vmwdojo.com","NestorW@vmwdojo.com",,"smtp:NestorW@M365x442721.OnMicrosoft.com;SMTP:NestorW@vmwdojo.com",,,"Nestor","Wilke","Director","Operations",,"320 Westlake Ave N. Thomas St.","Seattle","WA",,"98109","+1 206 555 0105",,,"ed10f605-68ad-4be6-94eb-c7367cea669e",,,,"User",,,"US",
"On-Premises Directory Synchronization Service Account",,"Sync_VMWDC1_e57f3b7a34d6@M365x442721.onmicrosoft.com",,,"",,,,,,,,,,,,,,,,"1374ff77-1037-4143-80a4-a23c2829cd24",,,,"User",,,,
"Patti Fernandez",,"PattiF@vmwdojo.com","PattiF@vmwdojo.com",,"smtp:PattiF@M365x442721.OnMicrosoft.com;SMTP:PattiF@vmwdojo.com",,,"Patti","Fernandez","President","Executive Management",,"9900 Corporate Campus Dr., Suite 3000","Louisville","KY",,"40223","+1 502 555 0144",,,"9454de00-de02-4c1c-abe3-dd3e0d58222a",,,,"User",,,"US",
